Date,Close
12/17/18,7.25
12/18/18,7.15
12/19/18,6.64
12/20/18,6.58
12/21/18,5.94
12/24/18,5.61
12/26/18,6.02
12/27/18,6.21
12/28/18,6.1
12/31/18,5.72
1/2/19,6.13
1/3/19,6.1
1/4/19,6.34
1/7/19,6.48
1/8/19,6.37
1/9/19,6.27
1/10/19,6.37
1/11/19,6.29
1/14/19,6.3
1/15/19,6.3
1/16/19,6.2
1/17/19,6.05
1/18/19,6.3
1/22/19,5.84
1/23/19,5.89
1/24/19,5.95
1/25/19,5.86
1/28/19,5.91
1/29/19,5.93
1/30/19,5.83
1/31/19,6
2/1/19,5.95
2/4/19,6.19
2/5/19,5.96
2/6/19,5.9
2/7/19,5.93
2/8/19,6.44
2/11/19,6.39
2/12/19,6.08
2/13/19,6
2/14/19,6.1
2/15/19,6.01
2/19/19,6.45
2/20/19,6.05
2/21/19,6.09
2/22/19,6.11
2/25/19,6.11
2/26/19,6.02
2/27/19,6.25
2/28/19,6.2
3/1/19,6.05
3/4/19,6.08
3/5/19,5.95
3/6/19,5.96
3/7/19,5.85
3/8/19,5.8
3/11/19,5.9
3/12/19,5.98
3/13/19,5.91
3/14/19,5.98
3/15/19,6.02
3/18/19,6.06
3/19/19,6.05
3/20/19,6.05
3/21/19,5.91
3/22/19,5.9
3/25/19,5.8
3/26/19,5.88
3/27/19,5.84
3/28/19,5.79
3/29/19,5.9
4/1/19,5.91
4/2/19,5.99
4/3/19,6.06
4/4/19,6.16
4/5/19,6.2
4/8/19,5.99
4/9/19,6.09
4/10/19,6.29
4/11/19,6.04
4/12/19,6
4/15/19,5.95
4/16/19,5.91
4/17/19,5.82
4/18/19,5.7
4/22/19,5.72
4/23/19,5.66
4/24/19,5.78
4/25/19,5.7
4/26/19,5.57
4/29/19,5.5
4/30/19,5.65
5/1/19,5.53
5/2/19,5.41
5/3/19,5.62
5/6/19,5.55
5/7/19,5.4
5/8/19,5.06
5/9/19,5.19
5/10/19,5.13
5/13/19,5.25
5/14/19,5.26
5/15/19,5.28
5/16/19,4.75
5/17/19,4.88
5/20/19,4.48
5/21/19,4.31
5/22/19,4.26
5/23/19,4.2
5/24/19,4.35
5/28/19,4.34
5/29/19,4.17
5/30/19,3.95
5/31/19,3.94
6/3/19,4.08
6/4/19,3.98
6/5/19,3.96
6/6/19,3.98
6/7/19,4
6/10/19,3.9
6/11/19,4.03
6/12/19,3.91
6/13/19,3.98
6/14/19,3.89
6/17/19,3.88
6/18/19,3.99
6/19/19,4
6/20/19,4.26
6/21/19,4.18
6/24/19,4.34
6/25/19,4.3
6/26/19,4.72
6/27/19,4.39
6/28/19,4.57
7/1/19,4.57
7/2/19,4.56
7/3/19,4.35
7/5/19,4.46
7/8/19,4.38
7/9/19,4.39
7/10/19,4.32
7/11/19,4.32
7/12/19,4.25
7/15/19,4.02
7/16/19,4.01
7/17/19,3.83
7/18/19,3.82
7/19/19,3.75
7/22/19,3.62
7/23/19,3.63
7/24/19,3.83
7/25/19,3.73
7/26/19,3.66
7/29/19,3.66
7/30/19,3.78
7/31/19,3.68
8/1/19,3.67
8/2/19,3.61
8/5/19,3.63
8/6/19,3.62
8/7/19,3.6
8/8/19,3.55
8/9/19,3.69
8/12/19,3.72
8/13/19,3.73
8/14/19,3.45
8/15/19,3.22
8/16/19,3.28
8/19/19,3.13
8/20/19,3.15
8/21/19,3.3
8/22/19,5.32
8/23/19,4.72
8/26/19,4.4
8/27/19,4.78
8/28/19,5.06
8/29/19,4.81
8/30/19,4.79
9/3/19,6.03
9/4/19,5.46
9/5/19,5.37
9/6/19,5.4
9/9/19,5.48
9/10/19,5.33
9/11/19,5.39
9/12/19,5.32
9/13/19,5.23
9/16/19,5.62
9/17/19,5.73
9/18/19,5.83
9/19/19,5.39
9/20/19,5.4
9/23/19,5.23
9/24/19,4.91
9/25/19,4.95
9/26/19,4.87
9/27/19,4.75
9/30/19,4.57
10/1/19,4.35
10/2/19,4.31
10/3/19,4.51
10/4/19,4.5
10/7/19,4.46
10/8/19,4.48
10/9/19,4.59
10/10/19,4.25
10/11/19,4.35
10/14/19,4.34
10/15/19,4.4
10/16/19,4.54
10/17/19,4.43
10/18/19,4.38
10/21/19,4.41
10/22/19,4.4
10/23/19,4.39
10/24/19,4.06
10/25/19,4.43
10/28/19,4.21
10/29/19,4.16
10/30/19,4.25
10/31/19,4.13
11/1/19,4.23
11/4/19,4.41
11/5/19,4.68
11/6/19,4.56
11/7/19,4.31
11/8/19,4.41
11/11/19,4.52
11/12/19,4.5
11/13/19,4.51
11/14/19,4.17
11/15/19,4.16
11/18/19,3.75
11/19/19,3.52
11/20/19,3.69
11/21/19,3.85
11/22/19,4
11/25/19,3.84
11/26/19,3.93
11/27/19,3.9
11/29/19,3.92
12/2/19,3.74
12/3/19,3.76
12/4/19,3.71
12/5/19,3.56
12/6/19,3.4
12/9/19,3.35
12/10/19,3.39
12/11/19,3.35
12/12/19,3.38
12/13/19,3.43
12/16/19,3.4
12/17/19,3.42
12/18/19,3.51
12/19/19,3.72
12/20/19,3.52
12/23/19,3.48
12/24/19,3.4
12/26/19,3.57
12/27/19,3.49
12/30/19,3.4
12/31/19,3.21
1/2/20,3.28
1/3/20,3.23
1/6/20,3.37
1/7/20,3.5
1/8/20,3.48
1/9/20,3.46
1/10/20,3.49
1/13/20,3.45
1/14/20,3.56
1/15/20,3.6
1/16/20,3.72
1/17/20,3.61
1/21/20,3.6
1/22/20,3.5
1/23/20,3.45
1/24/20,3.4
1/27/20,3.16
1/28/20,3.24
1/29/20,3.22
1/30/20,3.32
1/31/20,3.2
2/3/20,3.22
2/4/20,3.23
2/5/20,3.25
2/6/20,3.3
2/7/20,3.3
2/10/20,3.33
2/11/20,3.62
2/12/20,3.61
2/13/20,3.52
2/14/20,3.54
2/18/20,3.42
2/19/20,3.2
2/20/20,3.22
2/21/20,3.26
2/24/20,3.25
2/25/20,3.11
2/26/20,3.15
2/27/20,3.01
2/28/20,3.03
3/2/20,3.11
3/3/20,3.07
3/4/20,3.09
3/5/20,2.9
3/6/20,2.77
3/9/20,2.27
3/10/20,2.34
3/11/20,2.03
3/12/20,1.82
3/13/20,1.72
3/16/20,1.82
3/17/20,1.92
3/18/20,1.89
3/19/20,2.08
3/20/20,1.99
3/23/20,1.96
3/24/20,2.02
3/25/20,2.05
3/26/20,2.21
3/27/20,2.03
3/30/20,1.93
3/31/20,1.85
4/1/20,1.79
4/2/20,1.56
4/3/20,1.6
4/6/20,1.63
4/7/20,1.65
4/8/20,1.74
4/9/20,1.84
4/13/20,2.09
4/14/20,2.09
4/15/20,2.09
4/16/20,2.03
4/17/20,2.12
4/20/20,1.98
4/21/20,1.99
4/22/20,2.02
4/23/20,2.03
4/24/20,1.96
4/27/20,2.48
